model,medium,doubling_time [min],growth_value,complete
iCstr1054FB23,SNM3,63.47756297402453,0.6551737162722389,True
iCstr1197FB23,SNM3,63.269144420372335,0.6573319619635212,True
iCstr1115FB23,SNM3,56.20027628043108,0.7400111456049537,True
iCstr1116FB23,SNM3,53.885412605847364,0.7718012876286989,EX_nmn_e
iCstr1054FB23,RPMI,3121280062810440.0,1.3324286829983981e-14,"EX_cobalt2_e, EX_cu2_e, EX_mn2_e, EX_zn2_e"
iCstr1197FB23,RPMI,61.91412975986667,0.6717179260194496,"EX_cobalt2_e, EX_cu2_e, EX_fe2_e, EX_mn2_e, EX_zn2_e"
iCstr1115FB23,RPMI,55.771298747718795,0.7457031083626651,"EX_cobalt2_e, EX_cu2_e, EX_fe2_e, EX_mn2_e, EX_zn2_e"
iCstr1116FB23,RPMI,52.63135557872607,0.7901911394128558,"EX_cobalt2_e, EX_cu2_e, EX_fe2_e, EX_mn2_e, EX_nmn_e, EX_zn2_e"
iCstr1054FB23,CGXlab,75.81617006441935,0.548548295149433,EX_cobalt2_e
iCstr1197FB23,CGXlab,1.289722062121447e+30,3.2246351407827973e-29,"EX_cobalt2_e, EX_pnto__R_e"
iCstr1115FB23,CGXlab,74.32506744127365,0.5595532202706339,"EX_cobalt2_e, EX_pnto__R_e, EX_s_e"
iCstr1116FB23,CGXlab,-3.3784621738944267e+31,-1.2309988596277924e-30,"EX_cobalt2_e, EX_nmn_e, EX_pnto__R_e"
iCstr1054FB23,LB,57.82395178357251,0.7192319021926808,True
iCstr1197FB23,LB,59.679990889478574,0.6968638938068055,True
iCstr1115FB23,LB,50.336478652407,0.826216532165148,True
iCstr1116FB23,LB,50.624433661541865,0.82151695980731,EX_nmn_e
iCstr1054FB23,M9,75.8051525892006,0.5486280208282512,True
iCstr1197FB23,M9,inf,0.0,EX_pnto__R_e
iCstr1115FB23,M9,74.31404996796324,0.5596361771633446,"EX_pnto__R_e, EX_s_e"
iCstr1116FB23,M9,-408096252063592.8,-1.019093672713172e-13,"EX_nmn_e, EX_pnto__R_e"
iCstr1054FB23,CGXII,75.80515272993722,0.5486280198096919,EX_cobalt2_e
iCstr1197FB23,CGXII,800879615587144.9,5.1928941658862056e-14,"EX_cobalt2_e, EX_pnto__R_e"
iCstr1115FB23,CGXII,74.31404996793877,0.5596361771635289,"EX_cobalt2_e, EX_pnto__R_e, EX_s_e"
iCstr1116FB23,CGXII,inf,0.0,"EX_cobalt2_e, EX_nmn_e, EX_pnto__R_e"
iCstr1054FB23,CasA,-646854368012672.8,-6.429396304668987e-14,"EX_ca2_e, EX_cl_e, EX_cobalt2_e, EX_cu2_e, EX_glyc3p_e, EX_k_e, EX_mg2_e, EX_mn2_e, EX_so4_e, EX_zn2_e"
iCstr1197FB23,CasA,85.65854271437101,0.48551877624482775,"EX_ca2_e, EX_cl_e, EX_cobalt2_e, EX_cu2_e, EX_fe2_e, EX_glyc3p_e, EX_k_e, EX_mg2_e, EX_mn2_e, EX_o2_e, EX_pnto__R_e, EX_zn2_e"
iCstr1115FB23,CasA,128.11872304011925,0.32461165586682866,"EX_ca2_e, EX_cl_e, EX_cobalt2_e, EX_cu2_e, EX_fe2_e, EX_glyc3p_e, EX_k_e, EX_mg2_e, EX_mn2_e, EX_o2_e, EX_pnto__R_e, EX_s_e, EX_so4_e, EX_zn2_e"
iCstr1116FB23,CasA,114.5626201765916,0.36302269247587005,"EX_ca2_e, EX_cl_e, EX_cobalt2_e, EX_cu2_e, EX_istfrnA_e, EX_k_e, EX_man1p_e, EX_mg2_e, EX_mn2_e, EX_nmn_e, EX_o2_e, EX_pnto__R_e, EX_so4_e, EX_zn2_e"
