model,medium,doubling_time [min],growth_value,complete
fda_1054,SNM3,63.47756297402657,0.6551737162722178,True
fda_1197,SNM3,63.2691444203673,0.6573319619635735,True
fda_1115,SNM3,56.200276280427275,0.7400111456050039,True
fda_1116,SNM3,53.88541260594843,0.7718012876272513,EX_nmn_e
fda_1054,RPMI,inf,0.0,"EX_cobalt2_e, EX_cu2_e, EX_mn2_e, EX_zn2_e"
fda_1197,RPMI,61.91412975986821,0.6717179260194328,"EX_cobalt2_e, EX_cu2_e, EX_istfrnA_e, EX_mn2_e, EX_zn2_e"
fda_1115,RPMI,55.78118229555984,0.7455709815047641,"EX_cobalt2_e, EX_cu2_e, EX_istfrnA_e, EX_mn2_e, EX_zn2_e"
fda_1116,RPMI,52.63825837199587,0.7900875165680336,"EX_cobalt2_e, EX_cu2_e, EX_istfrnA_e, EX_mn2_e, EX_nmn_e, EX_zn2_e"
fda_1054,CGXlab,75.81617006464292,0.5485482951478154,EX_cobalt2_e
fda_1197,CGXlab,-3.612761731511883e+17,-1.151164508604127e-16,"EX_cobalt2_e, EX_pnto__R_e"
fda_1115,CGXlab,74.32506744336875,0.559553220254861,"EX_cobalt2_e, EX_pnto__R_e, EX_s_e"
fda_1116,CGXlab,2933355096528634.0,1.4177905321729856e-14,"EX_cobalt2_e, EX_nmn_e, EX_pnto__R_e"
