,fluxes
12DGR140tipp,0.0
12DGR160tipp,0.0
12DGR161tipp,0.0
12DGR180tipp,0.0
12DGR181tipp,0.0
2AGPE120tipp,0.0
2AGPE140tipp,0.0
2AGPE141tipp,0.0
2AGPE160tipp,0.0
2AGPE161tipp,0.0
2AGPE180tipp,0.0
2AGPEAT140,0.0
2AGPEAT141,0.0
2AGPEAT160,0.0
2AGPEAT161,0.0
2AGPEAT180,0.0
2AGPG141tipp,0.0
2AGPG160tipp,0.0
2AGPGAT141,0.0
2AGPGAT160,0.0
2DGLCNRx,0.0
2DHGLCNkt_tpp,0.0
2DHGLCNtex,0.0
2HH24DDH,0.0
2HH24DDH1,0.0
2MAHMP,0.0
3_4DHBZ1t_pp,0.0
3_4DHBZt2,0.0
3HAD140,0.0
3HOXPACt2pp,0.0
3hoxpactex,0.0
3HPAOX,0.0
3HPPPNH,0.0
3MBt2pp,0.0
3MBt4pp,0.0
3MBtex,0.0
3OXCOAT,0.0
3PEPTtex,0.0
4ABUTD,0.0
4H2KPILY,0.0
4HBZtex,0.0
4HOXPACMOF,0.0
4HOXPACt2pp,0.0
4HTHRK,0.0
4HTHRtex,0.0
4HTHRtrpp,0.0
4PEPTtex,0.0
5CM2HMUDI,0.0
5DGLCNt2rpp,0.0
5DGLCNtex,0.0
5DOAN,0.0
5MTRt2,0.0
AACPS9,0.0
ABTA,1000.0
ABTt_1,0.0
ABUTt2pp,0.0
ABUTt2r,1000.0
ACACT1r,0.0
ACACT2r,0.0
ACACT3r,0.0
ACACT4r,0.0
ACACT5r,0.0
ACACT5r_1,0.0
ACACT6r,0.0
ACACT7r,0.0
ACACT8r,0.0
ACALDt,0.0
ACCOAC,0.0
ACCOAL,0.0
ACGAMPM,0.0
ACGApts,0.0
ACGAptspp,0.0
ACGAtex,0.0
ACGK,0.0
ACGS,0.0
ACHBS,0.0
ACKr,-992.4952308800408
ACLDC,0.0
ACLS,0.0
ACOAD20,0.0
ACOAD2f,0.0
ACOAD3f,0.0
ACOAD4_1,0.0
ACOAD5f,0.0
ACOAD6f,0.0
ACOATA,0.0
ACODA,0.0
ACONT,12.202079159832195
ACOTA,0.0
ACPPAT181,0.0
ACPS,0.0
ACt2rpp,0.0
ACt4pp,0.0
ACTNabc,0.0
ACTNabc1,0.0
ACYP_2,0.0
ACYSBMNt,0.0
ADCL,0.0
ADCS,0.0
ADEt2rpp,15.332018169006925
ADEtex,15.332018169006925
ADHEr,0.0
ADK1,49.231960856161045
ADK2,0.0
ADK3,0.0
ADK4,0.0
ADMDC,0.0
ADNCYC,0.0
ADPT,15.339522938126885
ADSK,0.0
ADSL1r,0.0
ADSL2r,0.0
ADSS,0.0
AGDC,0.0
AGM3PApp,0.0
AGM4PApp,0.0
AGPAT120,0.0
AGPAT141,0.0
AGPAT160,0.0
AGPAT180,0.0
AGPR,0.0
AHCYSNS,0.007504769119959228
AHMMPS_1,0.0
AICART,0.0
